Description;category;Price;Brand;Coluors;Size;Condition;Views;Interested;Location;Date;Current_date;No;url
Stan Smith Bold;turnschuhe-turnschuhe;35,00;ADIDAS;SCHWARZ, WEISS;42;SEHR GUT;3;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 14:59;2020-07-18 15:22:54.387426;256367129;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256367129-stan-smith-bold
adidas stan smith Gr. 38 neu und original;turnschuhe-turnschuhe;49,00;ADIDAS;LILA, WEISS;38;NEU OHNE ETIKETT;6;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 14:28;2020-07-18 15:23:06.904928;256362211;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256362211-adidas-stan-smith-gr-38-neu-und-original
Neu/Ungetragene Stan SmithAdidas Grün (gr. 40);flache-schuhe-flache-schuhe;55,00;ADIDAS;GRÜN, WEISS;40;NEU MIT ETIKETT;17;0;KREDITKARTE, ONLINE-BANKING PER SOFORT;18.07.2020 14:13;2020-07-18 15:23:13.754441;256359539;https://www.kleiderkreisel.de/damen/flache-schuhe-flache-schuhe/256359539-neuungetragene-stan-smithadidas-grun-gr-40
Rote Adidas Stan Smith;turnschuhe-turnschuhe;20,00;ADIDAS;ROT, WEISS;41;GUT;4;1;KREDITKARTE, ONLINE-BANKING PER SOFORT;18.07.2020 13:16;2020-07-18 15:23:22.712072;256350199;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256350199-rote-adidas-stan-smith
Adidas Stan Smith mit Pink - Größe 37 1/3;turnschuhe-turnschuhe;20,00;ADIDAS;PINK, WEISS;37;SEHR GUT;3;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 12:33;2020-07-18 15:23:37.533648;256342985;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256342985-adidas-stan-smith-mit-pink-grosse-37-13
Adidas Stan Smith mit etwas Plateau - Gr. 37 1/3;turnschuhe-turnschuhe;20,00;ADIDAS;ROSE;37;SEHR GUT;4;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 12:32;2020-07-18 15:23:45.582747;256342694;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256342694-adidas-stan-smith-mit-etwas-plateau-gr-37-13
Adidas Originals Stan Smith Sneaker Herren Größe 42 weiß Tennis Schuhe;turnschuhe-and-chucks;10,00;ADIDAS;WEISS, MARINEBLAU;42;GUT;6;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 12:25;2020-07-18 15:23:52.212284;256341600;https://www.kleiderkreisel.de/herren/turnschuhe-and-chucks/256341600-adidas-originals-stan-smith-sneaker-herren-grosse-42-weiss-tennis-schuhe
Adidas Stan Smith Mickey Mouse;turnschuhe-and-chucks;130,00;ADIDAS;SCHWARZ, WEISS;42.5;NEU MIT ETIKETT;7;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 12:09;2020-07-18 15:24:08.300673;256338772;https://www.kleiderkreisel.de/herren/turnschuhe-and-chucks/256338772-adidas-stan-smith-mickey-mouse
Adidas Stan Smith, Gr. 10,5 (44 2/3);turnschuhe-and-chucks;29,00;ADIDAS;WEISS;44;SEHR GUT;7;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 11:08;2020-07-18 15:24:24.661111;256329706;https://www.kleiderkreisel.de/herren/turnschuhe-and-chucks/256329706-adidas-stan-smith-gr-105-44-23
stan smith adidas pink;turnschuhe-turnschuhe;18,00;ADIDAS;PINK, WEISS;37.5;GUT;4;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 09:56;2020-07-18 15:24:37.342362;256321614;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256321614-stan-smith-adidas-pink
