Description;category;Price;Brand;Coluors;Size;Condition;Views;Interested;Location;Date;Current_date;No;url
Adidas Stan Smith Sneaker;turnschuhe-turnschuhe;20,00;ADIDAS;WEISS;38;GUT;7;0;KREDITKARTE, ONLINE-BANKING PER SOFORT;18.07.2020 09:31;2020-07-18 15:24:43.702603;256319569;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256319569-adidas-stan-smith-sneaker
"Adidas ""Stan Smith"" mit rotem Stoff";andere-sportschuhe;12,00;ADIDAS;ROT, WEISS;40;ZUFRIEDENSTELLEND;19;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;18.07.2020 08:15;2020-07-18 15:24:49.701456;256314926;https://www.kleiderkreisel.de/damen/andere-sportschuhe/256314926-adidas-stan-smith-mit-rotem-stoff
Adidas stan smith endorsed by;schuhe-sonstiges;55,00;ADIDAS;ROT, WEISS;SONSTIGE;GUT;15;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 23:08;2020-07-18 15:24:58.841794;256305921;https://www.kleiderkreisel.de/damen/schuhe-sonstiges/256305921-adidas-stan-smith-endorsed-by
Na;turnschuhe-turnschuhe;17,00;ADIDAS;WEISS;38.5;SEHR GUT;34;0;KREDITKARTE, ONLINE-BANKING PER SOFORT;17.07.2020 22:00;2020-07-18 15:25:15.141055;256300061;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256300061-adidas-stan-smith-damen
Orginale Stan Smith -Lachs/neongrün;turnschuhe-turnschuhe;80,00;ADIDAS;WEISS;38;NEU MIT ETIKETT;20;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 21:53;2020-07-18 15:25:21.453262;256299418;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256299418-orginale-stan-smith-lachsneongrun
Stan Smith Adidas;turnschuhe-turnschuhe;30,00;ADIDAS;GRÜN, WEISS;35.5;SEHR GUT;18;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 21:34;2020-07-18 15:25:59.135037;256297251;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256297251-stan-smith-adidas
Adidas-Stan Smiths;turnschuhe-turnschuhe;27,00;ADIDAS;WEISS;38.5;GUT;14;0;KREDITKARTE, ONLINE-BANKING PER SOFORT;17.07.2020 21:15;2020-07-18 15:26:06.422524;256294982;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256294982-adidas-stan-smiths
Neue Adidas Sneaker Stan Smith Hellblau/ Babyblau Gr. 38 1/2;andere-sportschuhe;89,00;ADIDAS;WEISS, HELLBLAU;38;NEU MIT ETIKETT;20;0;KREDITKARTE, ONLINE-BANKING PER SOFORT;17.07.2020 20:20;2020-07-18 15:26:13.154336;256287675;https://www.kleiderkreisel.de/damen/andere-sportschuhe/256287675-neue-adidas-sneaker-stan-smith-hellblau-babyblau-gr-38-12
Adidas Stan Smith 42 blau;turnschuhe-turnschuhe;25,00;ADIDAS;WEISS, MARINEBLAU;42;GUT;52;1;KREDITKARTE, ONLINE-BANKING PER SOFORT;17.07.2020 19:29;2020-07-18 15:26:23.819226;256280627;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256280627-adidas-stan-smith-42-blau
Sneaker;laufschuhe;25,00;ADIDAS;SCHWARZ, WEISS;38.5;GUT;15;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 19:00;2020-07-18 15:26:39.971557;256276513;https://www.kleiderkreisel.de/damen/laufschuhe/256276513-sneaker
Adidas Stan smith elizabeth line Sneaker Schuhe Gr 40,5 NEUw;andere-sportschuhe;39,00;ADIDAS;WEISS, FLIEDER;40.5;SEHR GUT;27;1;KREDITKARTE, ONLINE-BANKING PER SOFORT;17.07.2020 18:53;2020-07-18 15:26:47.792603;256275611;https://www.kleiderkreisel.de/damen/andere-sportschuhe/256275611-adidas-stan-smith-elizabeth-line-sneaker-schuhe-gr-405-neuw
Adidas Stan Smith Sneaker Koralle mit Punkten;turnschuhe-turnschuhe;35,00;ADIDAS;KORALLENROT;42;NEU OHNE ETIKETT;22;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 17:48;2020-07-18 15:27:04.939884;256265918;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256265918-adidas-stan-smith-sneaker-koralle-mit-punkten
Na;turnschuhe-turnschuhe;18,00;ADIDAS;WEISS;38;GUT;23;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 17:16;2020-07-18 15:27:12.726236;256260644;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256260644-original-adidas-stan-smith-in-weiss-grosse-38
Adidas Stan smith;turnschuhe-turnschuhe;30,00;ADIDAS;ORANGE, WEISS;38;GUT;21;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 16:19;2020-07-18 15:27:26.993081;256251033;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256251033-adidas-stan-smith
Adidas Schuhe Stan Smith (weiß/blau);turnschuhe-turnschuhe;20,00;ADIDAS;BLAU, MARINEBLAU;37.5;GUT;20;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 16:07;2020-07-18 15:27:36.642566;256248976;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256248976-adidas-schuhe-stan-smith-weissblau
Adidas Schuhe Stan Smith;schuhe-sonstiges;11,50;ADIDAS;ROSE;38;GUT;22;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 15:39;2020-07-18 15:27:42.544435;256244259;https://www.kleiderkreisel.de/damen/schuhe-sonstiges/256244259-adidas-schuhe-stan-smith
Adidas Sneaker, Stan Smith;turnschuhe-turnschuhe;30,00;ADIDAS;WEISS, TÜRKIS;37.5;SEHR GUT;28;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 15:16;2020-07-18 15:27:53.944209;256240483;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256240483-adidas-sneaker-stan-smith
Adidas stan smith 👟;turnschuhe-turnschuhe;10,00;ADIDAS;GRÜN, WEISS;37.5;ZUFRIEDENSTELLEND;39;1;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 15:14;2020-07-18 15:28:01.349126;256240119;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256240119-adidas-stan-smith
Adidas Stan Smith (mit Punkt Muster);turnschuhe-turnschuhe;13,00;ADIDAS;GRÜN, WEISS;37.5;GUT;26;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 13:19;2020-07-18 15:28:14.049807;256219881;https://www.kleiderkreisel.de/damen/turnschuhe-turnschuhe/256219881-adidas-stan-smith-mit-punkt-muster
Stan Smith Türkis/Weiß;schuhe-sonstiges;65,00;ADIDAS;WEISS, TÜRKIS;36;NEU OHNE ETIKETT;18;0;KREDITKARTE, ONLINE-BANKING PER SOFORT, PAYPAL;17.07.2020 13:13;2020-07-18 15:28:21.642926;256218782;https://www.kleiderkreisel.de/damen/schuhe-sonstiges/256218782-stan-smith-turkisweiss
