Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
yeezy calabasas;chaussures-habillees;65,00;ADIDAS;NOIR;42.5;BON ÉTAT;115;0;ROQUEMAURE, FRANCE;23/01/2020 21:37;2020-07-09 17:04:13.598828;400123421;https://www.vinted.fr/hommes/chaussures-habillees/400123421-yeezy-calabasas
Adidas Yeezy Powerphase Calabasas;sneakers-and-converses;60,00;ADIDAS;NOIR;44;BON ÉTAT;78;3;BIACHE-SAINT-VAAST, FRANCE;21/01/2020 17:04;2020-07-09 17:04:20.082575;398341873;https://www.vinted.fr/hommes/sneakers-and-converses/398341873-adidas-yeezy-powerphase-calabasas
Basket Adidas Original powerphase;baskets-baskets;90,00;ADIDAS;BLANC;38;NEUF;102;0;PARIS, FRANCE;21/01/2020 09:51;2020-07-09 17:04:26.508768;397957696;https://www.vinted.fr/femmes/baskets-baskets/397957696-basket-adidas-original-powerphase
Adidas yeezy powerphase Calabasas noires;sneakers-and-converses;65,00;ADIDAS;NOIR;43;TRÈS BON ÉTAT;153;3;REMIREMONT, FRANCE;16/01/2020 18:17;2020-07-09 17:04:36.489715;393863464;https://www.vinted.fr/hommes/sneakers-and-converses/393863464-adidas-yeezy-powerphase-calabasas-noires
Yeezy calabasas powerphase black;sneakers-and-converses;55,00;ADIDAS;NOIR;40;BON ÉTAT;110;4;PESSAC, FRANCE;16/01/2020 07:38;2020-07-09 17:04:44.507499;393379847;https://www.vinted.fr/hommes/sneakers-and-converses/393379847-yeezy-calabasas-powerphase-black
Basket calabasas yeezy powerphase;sneakers-and-converses;130,00;ADIDAS;NOIR;44;NEUF, AVEC ÉTIQUETTE;204;6;FRANCE;13/01/2020 13:04;2020-07-09 17:04:54.668385;391155236;https://www.vinted.fr/hommes/sneakers-and-converses/391155236-basket-calabasas-yeezy-powerphase
Baskets Adidas, 40;baskets-baskets;10,00;ADIDAS;GRIS;40;TRÈS BON ÉTAT;102;2;LYON, FRANCE;12/01/2020 13:59;2020-07-09 17:05:00.716773;390020170;https://www.vinted.fr/femmes/baskets-baskets/390020170-baskets-adidas-40
Yeezy Powerphase 8US;sneakers-and-converses;45,00;ADIDAS;NOIR, GRIS;41;TRÈS BON ÉTAT;149;3;TOURS, FRANCE;05/01/2020 18:32;2020-07-09 17:05:11.432785;384924212;https://www.vinted.fr/hommes/sneakers-and-converses/384924212-yeezy-powerphase-8us
Adidas Yeezy Powerphase neuve 39.1/3;sneakers-and-converses;70,00;ADIDAS;GRIS;39;NEUF, AVEC ÉTIQUETTE;221;0;LA MULATIÈRE, FRANCE;02/01/2020 20:19;2020-07-09 17:05:20.668105;382252249;https://www.vinted.fr/hommes/sneakers-and-converses/382252249-adidas-yeezy-powerphase-neuve-3913
Adidas Powerphase Calabasas;baskets-baskets;35,00;ADIDAS;GRIS, BLEU;39.5;BON ÉTAT;140;0;LYON, FRANCE;26/12/2019 14:32;2020-07-09 17:05:27.088069;377824178;https://www.vinted.fr/femmes/baskets-baskets/377824178-adidas-powerphase-calabasas
Yeezy powerphase;sneakers-and-converses;80,00;ADIDAS;NOIR;40;BON ÉTAT;61;0;MULHOUSE, FRANCE;18/12/2019 22:04;2020-07-09 17:05:55.820874;374759285;https://www.vinted.fr/hommes/sneakers-and-converses/374759285-yeezy-powerphase
Adidas calabasas/ yeezy powerphase;sneakers-and-converses;50,00;ADIDAS;NOIR;41;SATISFAISANT;167;0;CLAIRA, FRANCE;14/12/2019 17:52;2020-07-09 17:06:01.476327;371977111;https://www.vinted.fr/hommes/sneakers-and-converses/371977111-adidas-calabasas-yeezy-powerphase
Yeezy Powerphase;sneakers-and-converses;100,00;ADIDAS;NOIR;41;BON ÉTAT;83;1;FRANCE;06/12/2019 14:58;2020-07-09 17:06:07.183891;366183569;https://www.vinted.fr/hommes/sneakers-and-converses/366183569-yeezy-powerphase
Baskets Adidas Powerphase;sneakers-and-converses;60,00;ADIDAS;LILA;39;NEUF, AVEC ÉTIQUETTE;100;0;CRÉTEIL, FRANCE;05/12/2019 18:53;2020-07-09 17:06:13.376266;365718302;https://www.vinted.fr/hommes/sneakers-and-converses/365718302-baskets-adidas-powerphase
Adidas powerphase  calabasas;sport-en-interieur;40,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;150;4;DONCOURT-LÈS-CONFLANS, FRANCE;10/11/2019 21:22;2020-07-09 17:06:35.480473;345009138;https://www.vinted.fr/hommes/sport-en-interieur/345009138-adidas-powerphase-calabasas
Yeezy powerphase calabasas noir;sneakers-and-converses;85,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;156;1;FRANCE;09/11/2019 15:17;2020-07-09 17:06:42.063933;343420503;https://www.vinted.fr/hommes/sneakers-and-converses/343420503-yeezy-powerphase-calabasas-noir
Yeezy Powerphase grise, taille 45 1/3;sneakers-and-converses;66,00;ADIDAS;GRIS;45;BON ÉTAT;523;2;LYON, FRANCE;04/11/2019 18:22;2020-07-09 17:06:49.769235;339795467;https://www.vinted.fr/hommes/sneakers-and-converses/339795467-yeezy-powerphase-grise-taille-45-13
Yeezy Powerphase;sneakers-and-converses;80,00;ADIDAS;NOIR, GRIS;44.5;TRÈS BON ÉTAT;126;4;LYON, FRANCE;03/11/2019 18:04;2020-07-09 17:06:59.404506;338830716;https://www.vinted.fr/hommes/sneakers-and-converses/338830716-yeezy-powerphase
Basket adidas powerphase;chaussures-autres;55,00;ADIDAS;BLEU, BLANC;42.5;TRÈS BON ÉTAT;245;4;DRANCY, FRANCE;03/11/2019 12:24;2020-07-09 17:07:05.055492;338128281;https://www.vinted.fr/hommes/chaussures-autres/338128281-basket-adidas-powerphase
Adidas Yeezy powerphase noire taille 40;sneakers-and-converses;150,00;ADIDAS;NOIR;40;NEUF, AVEC ÉTIQUETTE;569;1;PARIS, FRANCE;02/11/2019 11:15;2020-07-09 17:07:11.143840;337044702;https://www.vinted.fr/hommes/sneakers-and-converses/337044702-adidas-yeezy-powerphase-noire-taille-40
Yeezy Powerphase;sneakers-and-converses;60,00;ADIDAS;NOIR;41;TRÈS BON ÉTAT;197;3;PARIS, FRANCE;25/10/2019 12:35;2020-07-09 17:07:25.644365;329841537;https://www.vinted.fr/hommes/sneakers-and-converses/329841537-yeezy-powerphase
Baskets adidas Yeezy Powerphase Calabasas gris anthracite neuve;sneakers-and-converses;100,00;ADIDAS;GRIS;46;NEUF, AVEC ÉTIQUETTE;667;4;FLORANGE, FRANCE;21/10/2019 14:57;2020-07-09 17:07:32.174016;326363056;https://www.vinted.fr/hommes/sneakers-and-converses/326363056-baskets-adidas-yeezy-powerphase-calabasas-gris-anthracite-neuve
Yeezy Powerphase;sneakers-and-converses;60,00;ADIDAS;NOIR, ROUGE;41;TRÈS BON ÉTAT;94;0;FRANCE;20/10/2019 20:20;2020-07-09 17:07:41.249397;325731649;https://www.vinted.fr/hommes/sneakers-and-converses/325731649-yeezy-powerphase
Adidas Yeezy Powerphase;baskets-baskets;47,00;ADIDAS;NOIR;39;TRÈS BON ÉTAT;190;3;FRANCE;19/10/2019 12:36;2020-07-09 17:07:49.181625;323779503;https://www.vinted.fr/femmes/baskets-baskets/323779503-adidas-yeezy-powerphase
Adidas Powerphase 42EU;sneakers-and-converses;80,00;ADIDAS;BLANC, ROSE;42;NEUF, AVEC ÉTIQUETTE;174;7;SAUMUR, FRANCE;08/10/2019 22:03;2020-07-09 17:07:55.275945;313774629;https://www.vinted.fr/hommes/sneakers-and-converses/313774629-adidas-powerphase-42eu
Yeezy powerphase calabasas;sneakers-and-converses;100,00;ADIDAS;NOIR;41;TRÈS BON ÉTAT;180;2;FRANCE;06/10/2019 01:22;2020-07-09 17:08:40.625335;310556652;https://www.vinted.fr/hommes/sneakers-and-converses/310556652-yeezy-powerphase-calabasas
Sneakers Yeezy Powerphase Calabasas 40 2/3 Adidas;sneakers-and-converses;100,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;507;3;VILLEMOMBLE, FRANCE;08/09/2019 23:51;2020-07-09 17:09:07.088159;289050095;https://www.vinted.fr/hommes/sneakers-and-converses/289050095-sneakers-yeezy-powerphase-calabasas-40-23-adidas
Adidas Yeezy powerphase;sneakers-and-converses;85,00;ADIDAS;NOIR;42;BON ÉTAT;101;0;VALENCE, FRANCE;30/08/2019 18:47;2020-07-09 17:09:17.905727;282050499;https://www.vinted.fr/hommes/sneakers-and-converses/282050499-adidas-yeezy-powerphase
Adidas Yeezy powerphase calabasas;baskets-baskets;110,00;ADIDAS;GRIS;37.5;TRÈS BON ÉTAT;134;1;WITRY-LÈS-REIMS, FRANCE;28/08/2019 15:57;2020-07-09 17:09:23.688547;280532243;https://www.vinted.fr/femmes/baskets-baskets/280532243-adidas-yeezy-powerphase-calabasas
Adidas powerphase;baskets-baskets;30,00;ADIDAS;GRIS;38;NEUF, AVEC ÉTIQUETTE;250;7;ISSY-LES-MOULINEAUX, FRANCE;07/08/2019 15:58;2020-07-09 17:09:31.604691;267437127;https://www.vinted.fr/femmes/baskets-baskets/267437127-adidas-powerphase
Yeezy x adidas . baskets basses powerphase en cuir;chaussures-habillees;100,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;71;0;LE CANNET, FRANCE;17/07/2019 19:07;2020-07-09 17:09:42.226725;258006694;https://www.vinted.fr/hommes/chaussures-habillees/258006694-yeezy-x-adidas-baskets-basses-powerphase-en-cuir
Yeezy Powerphase Grises;baskets-baskets;100,00;ADIDAS;GRIS;37.5;NEUF, AVEC ÉTIQUETTE;690;45;COLOMBES, FRANCE;09/06/2019 16:37;2020-07-09 17:10:21.434312;238373542;https://www.vinted.fr/femmes/baskets-baskets/238373542-yeezy-powerphase-grises
Chaussures yeezy powerphase calabasas noires;sneakers-and-converses;70,00;ADIDAS;NOIR;42.5;TRÈS BON ÉTAT;203;0;SÈTE, FRANCE;13/05/2019 18:43;2020-07-09 17:10:44.597463;222509317;https://www.vinted.fr/hommes/sneakers-and-converses/222509317-chaussures-yeezy-powerphase-calabasas-noires
Yeezy powerphase;sneakers-and-converses;70,00;ADIDAS;NOIR, GRIS;42;BON ÉTAT;146;2;ELSENE, BELGIQUE;11/05/2019 10:15;2020-07-09 17:10:59.469267;220572296;https://www.vinted.fr/hommes/sneakers-and-converses/220572296-yeezy-powerphase
Yeezy Powerphase calabasas;sneakers-and-converses;80,00;ADIDAS;NOIR;43.5;TRÈS BON ÉTAT;177;2;CLAMART, FRANCE;08/05/2019 16:38;2020-07-09 17:11:05.282934;218987059;https://www.vinted.fr/hommes/sneakers-and-converses/218987059-yeezy-powerphase-calabasas
Adidas x Yeezy Powerphase Calabasas Noires;sneakers-and-converses;100,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;771;18;ANGERS, FRANCE;13/04/2019 17:02;2020-07-09 17:11:16.860779;203059918;https://www.vinted.fr/hommes/sneakers-and-converses/203059918-adidas-x-yeezy-powerphase-calabasas-noires
Basket adidas powerphase;baskets-baskets;40,00;ADIDAS;BEIGE;39;NEUF;308;2;BORDEAUX, FRANCE;26/03/2019 19:49;2020-07-09 17:11:23.198980;192949551;https://www.vinted.fr/femmes/baskets-baskets/192949551-basket-adidas-powerphase
Yeezy powerphase calabasas;sneakers-and-converses;80,00;ADIDAS;NOIR, GRIS;44.5;BON ÉTAT;200;0;ILLANGE, FRANCE;26/03/2019 18:12;2020-07-09 17:11:29.218752;192885956;https://www.vinted.fr/hommes/sneakers-and-converses/192885956-yeezy-powerphase-calabasas
Yeezy powerphase calabasas gris;sneakers-and-converses;65,00;ADIDAS;GRIS;42.5;TRÈS BON ÉTAT;923;14;FRANCE;15/03/2019 10:47;2020-07-09 17:11:38.457633;186272303;https://www.vinted.fr/hommes/sneakers-and-converses/186272303-yeezy-powerphase-calabasas-gris
Adidas yeezy powerphase;baskets-baskets;130,00;ADIDAS;GRIS;38;NEUF, AVEC ÉTIQUETTE;212;1;PARIS, FRANCE;10/03/2019 14:07;2020-07-09 17:11:44.451777;183484850;https://www.vinted.fr/femmes/baskets-baskets/183484850-adidas-yeezy-powerphase
Yeezy powerphase calabasas black;sneakers-and-converses;95,00;ADIDAS;NOIR;45;TRÈS BON ÉTAT;307;3;SAINT-LEU-LA-FORÊT, FRANCE;24/02/2019 19:19;2020-07-09 17:11:51.922085;176036048;https://www.vinted.fr/hommes/sneakers-and-converses/176036048-yeezy-powerphase-calabasas-black
Adidas yeezy Powerphase grey 38,5;baskets-baskets;80,00;ADIDAS;GRIS;38.5;TRÈS BON ÉTAT;396;8;FRANCE;23/02/2019 10:42;2020-07-09 17:12:02.274608;175013198;https://www.vinted.fr/femmes/baskets-baskets/175013198-adidas-yeezy-powerphase-grey-385
Adidas Yeezy Powerphase Calabasas grises | Taille EU 40;sneakers-and-converses;75,00;ADIDAS;GRIS;40;TRÈS BON ÉTAT;1473;7;CHAUDFONTAINE, BELGIQUE;20/02/2019 20:25;2020-07-09 17:12:07.501358;173934172;https://www.vinted.fr/hommes/sneakers-and-converses/173934172-adidas-yeezy-powerphase-calabasas-grises-taille-eu-40
Adidas Yeezy powerphase noir;baskets-baskets;80,00;ADIDAS;NOIR;38.5;TRÈS BON ÉTAT;139;0;FRANCE;12/02/2019 16:11;2020-07-09 17:12:13.492851;169950287;https://www.vinted.fr/femmes/baskets-baskets/169950287-adidas-yeezy-powerphase-noir
Adidas powerphase calabasas;sneakers-and-converses;80,00;ADIDAS;BEIGE;43.5;SATISFAISANT;742;3;LYON, FRANCE;10/02/2019 21:13;2020-07-09 17:12:19.529879;169151485;https://www.vinted.fr/hommes/sneakers-and-converses/169151485-adidas-powerphase-calabasas
Yeezy PowerPhase;sneakers-and-converses;90,00;ADIDAS;NOIR;40;NEUF, AVEC ÉTIQUETTE;122;0;PARIS, FRANCE;09/02/2019 22:24;2020-07-09 17:12:49.587599;168442637;https://www.vinted.fr/hommes/sneakers-and-converses/168442637-yeezy-powerphase
Adidas yeezy powerphase;sneakers-and-converses;100,00;ADIDAS;NOIR;42;NEUF, AVEC ÉTIQUETTE;104;0;LAMBERSART, FRANCE;04/02/2019 10:33;2020-07-09 17:12:55.341025;166067779;https://www.vinted.fr/hommes/sneakers-and-converses/166067779-adidas-yeezy-powerphase
Adidas yezee calabasas powerphase T 40;baskets-baskets;60,00;ADIDAS;NOIR, GRIS;40;TRÈS BON ÉTAT;317;0;LA ROCHELLE, FRANCE;13/01/2019 16:53;2020-07-09 17:13:01.322907;156067059;https://www.vinted.fr/femmes/baskets-baskets/156067059-adidas-yezee-calabasas-powerphase-t-40
Yeezy powerphase;sneakers-and-converses;50,00;ADIDAS;GRIS;38;TRÈS BON ÉTAT;468;5;MEAUX, FRANCE;12/01/2019 16:06;2020-07-09 17:13:06.629857;155451664;https://www.vinted.fr/hommes/sneakers-and-converses/155451664-yeezy-powerphase
Yezzy Powerphase;baskets-baskets;120,00;ADIDAS;GRIS;38;NEUF;551;0;MÉRÉ, FRANCE;22/12/2018 16:28;2020-07-09 17:13:19.280589;148860299;https://www.vinted.fr/femmes/baskets-baskets/148860299-yezzy-powerphase
Yeezy Powerphase;sneakers-and-converses;90,00;ADIDAS;NOIR;44;NEUF;490;4;ÉPINAY-SUR-SEINE, FRANCE;20/12/2018 15:25;2020-07-09 17:13:25.185136;148491855;https://www.vinted.fr/hommes/sneakers-and-converses/148491855-yeezy-powerphase
Yeezy PowerShare;sneakers-and-converses;150,00;ADIDAS;NOIR, GRIS;39;NEUF, AVEC ÉTIQUETTE;446;0;NEUILLY-SUR-SEINE, FRANCE;03/12/2018 21:51;2020-07-09 17:13:30.980971;143628876;https://www.vinted.fr/hommes/sneakers-and-converses/143628876-yeezy-powershare
Yeezy PowerShare;sneakers-and-converses;150,00;ADIDAS;NOIR, GRIS;39;NEUF, AVEC ÉTIQUETTE;446;0;NEUILLY-SUR-SEINE, FRANCE;03/12/2018 21:51;2020-07-09 17:13:37.599453;143628876;https://www.vinted.fr/hommes/sneakers-and-converses/143628876-yeezy-powershare
Adidas powerphase;sneakers-and-converses;50,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;164;0;LEVALLOIS-PERRET, FRANCE;18/11/2018 13:29;2020-07-09 17:13:42.746254;137767221;https://www.vinted.fr/hommes/sneakers-and-converses/137767221-adidas-powerphase
Yeezy Powerphase;sneakers-and-converses;75,00;ADIDAS;GRIS;39;TRÈS BON ÉTAT;754;11;DEUIL-LA-BARRE, FRANCE;19/10/2018 00:01;2020-07-09 17:13:51.631254;125192814;https://www.vinted.fr/hommes/sneakers-and-converses/125192814-yeezy-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;150,00;ADIDAS;GRIS;42.5;NEUF, AVEC ÉTIQUETTE;946;9;TOULOUSE, FRANCE;02/09/2018 21:45;2020-07-09 17:14:01.283677;109400353;https://www.vinted.fr/hommes/sneakers-and-converses/109400353-yeezy-powerphase-calabasas
Yeezy powerphase;baskets-baskets;190,00;ADIDAS;GRIS;39;NEUF, AVEC ÉTIQUETTE;862;2;MONT-SAINT-AIGNAN, FRANCE;27/08/2018 12:06;2020-07-09 17:14:07.261999;107066505;https://www.vinted.fr/femmes/baskets-baskets/107066505-yeezy-powerphase
Adidas Yeezy Powerphase;sneakers-and-converses;70,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;1575;2;NANTES, FRANCE;26/08/2018 21:04;2020-07-09 17:14:12.600186;106951514;https://www.vinted.fr/hommes/sneakers-and-converses/106951514-adidas-yeezy-powerphase
Yeezy powerphase 42 2/3;sneakers-and-converses;140,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;272;2;BOIS-COLOMBES, FRANCE;04/07/2018 21:13;2020-07-09 17:14:22.989943;96564510;https://www.vinted.fr/hommes/sneakers-and-converses/96564510-yeezy-powerphase-42-23
Yeezy powerphase calabasas (Négociable);sneakers-and-converses;99,99;ADIDAS;NOIR;40;TRÈS BON ÉTAT;646;2;ROANNE, FRANCE;27/06/2018 19:57;2020-07-09 17:14:29.089251;95299190;https://www.vinted.fr/hommes/sneakers-and-converses/95299190-yeezy-powerphase-calabasas-negociable
Yeezy Powerphase;baskets-baskets;200,00;ADIDAS;GRIS;37.5;NEUF;438;1;FONTENAY-SOUS-BOIS, FRANCE;21/05/2018 11:26;2020-07-09 17:14:36.484781;86821621;https://www.vinted.fr/femmes/baskets-baskets/86821621-yeezy-powerphase
Yeezy powerphase coreblack;sneakers-and-converses;100,00;ADIDAS;NOIR, GRIS;43.5;NEUF, AVEC ÉTIQUETTE;183;0;BORDEAUX, FRANCE;11/05/2018 11:13;2020-07-09 17:14:46.808806;84350498;https://www.vinted.fr/hommes/sneakers-and-converses/84350498-yeezy-powerphase-coreblack
Yeezy calabasas powerphase negras;sneakers-and-converses;90,00;ADIDAS;NOIR;42.5;TRÈS BON ÉTAT;542;2;MADRID, ESPAÑA;06/06/2019 01:01;2020-07-09 17:15:14.583549;236324232;https://www.vinted.fr/hommes/sneakers-and-converses/236324232-yeezy-calabasas-powerphase-negras
Adidas Yeezy Powerphase Calbasas;sneakers-and-converses;60,00;ADIDAS;NOIR;43;TRÈS BON ÉTAT;302;3;MONTROEUL-AU-BOIS, BELGIQUE;31/05/2019 17:49;2020-07-09 17:15:21.101008;233156575;https://www.vinted.fr/hommes/sneakers-and-converses/233156575-adidas-yeezy-powerphase-calbasas
Yeezy Powerphase;sneakers-and-converses;40,00;ADIDAS;GRIS;41;BON ÉTAT;755;11;BOURGOIN-JALLIEU, FRANCE;31/05/2019 14:46;2020-07-09 17:15:27.741803;233032425;https://www.vinted.fr/hommes/sneakers-and-converses/233032425-yeezy-powerphase
Adidas calabasas powerphase;sneakers-and-converses;45,00;ADIDAS;NOIR;42.5;BON ÉTAT;107;1;FRANCE;28/05/2019 14:12;2020-07-09 17:15:33.666256;231144094;https://www.vinted.fr/hommes/sneakers-and-converses/231144094-adidas-calabasas-powerphase
Chaussures yeezy powerphase calabasas noires;sneakers-and-converses;70,00;ADIDAS;NOIR;42.5;TRÈS BON ÉTAT;206;0;SÈTE, FRANCE;13/05/2019 18:43;2020-07-09 17:15:43.581981;222509317;https://www.vinted.fr/hommes/sneakers-and-converses/222509317-chaussures-yeezy-powerphase-calabasas-noires
Yeezy powerphase taille 43;sneakers-and-converses;70,00;ADIDAS;GRIS;43;TRÈS BON ÉTAT;196;0;NOYALO, FRANCE;12/05/2019 23:45;2020-07-09 17:15:53.691944;222105764;https://www.vinted.fr/hommes/sneakers-and-converses/222105764-yeezy-powerphase-taille-43
Yeezy powerphase;sneakers-and-converses;70,00;ADIDAS;NOIR, GRIS;42;BON ÉTAT;148;2;ELSENE, BELGIQUE;11/05/2019 10:15;2020-07-09 17:16:03.497809;220572296;https://www.vinted.fr/hommes/sneakers-and-converses/220572296-yeezy-powerphase
Yeezy Powerphase calabasas;sneakers-and-converses;80,00;ADIDAS;NOIR;43.5;TRÈS BON ÉTAT;177;2;CLAMART, FRANCE;08/05/2019 16:38;2020-07-09 17:16:08.832580;218987059;https://www.vinted.fr/hommes/sneakers-and-converses/218987059-yeezy-powerphase-calabasas
Adidas x Yeezy Powerphase Calabasas Noires;sneakers-and-converses;100,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;771;18;ANGERS, FRANCE;13/04/2019 17:02;2020-07-09 17:16:24.276903;203059918;https://www.vinted.fr/hommes/sneakers-and-converses/203059918-adidas-x-yeezy-powerphase-calabasas-noires
Basket adidas powerphase;baskets-baskets;40,00;ADIDAS;BEIGE;39;NEUF;308;2;BORDEAUX, FRANCE;26/03/2019 19:49;2020-07-09 17:16:31.465992;192949551;https://www.vinted.fr/femmes/baskets-baskets/192949551-basket-adidas-powerphase
Yeezy calabasas powerphase deadstock;sneakers-and-converses;150,00;ADIDAS;GRIS;43;NEUF, AVEC ÉTIQUETTE;289;1;LIEUSAINT, FRANCE;18/03/2019 15:05;2020-07-09 17:16:37.793151;188376863;https://www.vinted.fr/hommes/sneakers-and-converses/188376863-yeezy-calabasas-powerphase-deadstock
Yeezy calabasas powerphase deadstock;sneakers-and-converses;150,00;ADIDAS;GRIS;43;NEUF, AVEC ÉTIQUETTE;289;1;LIEUSAINT, FRANCE;18/03/2019 15:05;2020-07-09 17:16:43.218912;188376863;https://www.vinted.fr/hommes/sneakers-and-converses/188376863-yeezy-calabasas-powerphase-deadstock
Adidas yeezy powerphase;baskets-baskets;130,00;ADIDAS;GRIS;38;NEUF, AVEC ÉTIQUETTE;212;1;PARIS, FRANCE;10/03/2019 14:07;2020-07-09 17:16:48.859369;183484850;https://www.vinted.fr/femmes/baskets-baskets/183484850-adidas-yeezy-powerphase
Yeezy powerphase calabasas black;sneakers-and-converses;95,00;ADIDAS;NOIR;45;TRÈS BON ÉTAT;309;3;SAINT-LEU-LA-FORÊT, FRANCE;24/02/2019 19:19;2020-07-09 17:16:58.041153;176036048;https://www.vinted.fr/hommes/sneakers-and-converses/176036048-yeezy-powerphase-calabasas-black
Adias YEEZY Powerphase;sneakers-and-converses;80,00;ADIDAS;GRIS;42;NEUF;666;7;TORTEVAL-QUESNAY, FRANCE;23/02/2019 15:35;2020-07-09 17:17:04.183390;175210771;https://www.vinted.fr/hommes/sneakers-and-converses/175210771-adias-yeezy-powerphase
Adidas yeezy Powerphase grey 38,5;baskets-baskets;80,00;ADIDAS;GRIS;38.5;TRÈS BON ÉTAT;399;8;FRANCE;23/02/2019 10:42;2020-07-09 17:17:09.913028;175013198;https://www.vinted.fr/femmes/baskets-baskets/175013198-adidas-yeezy-powerphase-grey-385
Yeezy powerphase;baskets-baskets;110,00;ADIDAS;GRIS;36;NEUF, AVEC ÉTIQUETTE;1608;1;HOBOKEN, BELGIQUE;31/01/2019 21:39;2020-07-09 17:17:46.406607;164453657;https://www.vinted.fr/femmes/baskets-baskets/164453657-yeezy-powerphase
Adidas yezee calabasas powerphase T 40;baskets-baskets;60,00;ADIDAS;NOIR, GRIS;40;TRÈS BON ÉTAT;319;0;LA ROCHELLE, FRANCE;13/01/2019 16:53;2020-07-09 17:17:53.378061;156067059;https://www.vinted.fr/femmes/baskets-baskets/156067059-adidas-yezee-calabasas-powerphase-t-40
Yeezy powerphase;sneakers-and-converses;70,00;ADIDAS;GRIS;40;TRÈS BON ÉTAT;273;2;NANTES, FRANCE;08/01/2019 19:08;2020-07-09 17:18:02.296627;154073138;https://www.vinted.fr/hommes/sneakers-and-converses/154073138-yeezy-powerphase
Yeezy powerphase;sneakers-and-converses;100,00;ADIDAS;NOIR;41;NEUF, AVEC ÉTIQUETTE;197;1;CHAVIGNON, FRANCE;04/12/2018 15:04;2020-07-09 17:18:22.818964;143781674;https://www.vinted.fr/hommes/sneakers-and-converses/143781674-yeezy-powerphase
Adidas powerphase;sneakers-and-converses;50,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;167;0;LEVALLOIS-PERRET, FRANCE;18/11/2018 13:29;2020-07-09 17:18:31.498800;137767221;https://www.vinted.fr/hommes/sneakers-and-converses/137767221-adidas-powerphase
Yeezy Powerphase;sneakers-and-converses;75,00;ADIDAS;GRIS;39;TRÈS BON ÉTAT;757;11;DEUIL-LA-BARRE, FRANCE;19/10/2018 00:01;2020-07-09 17:18:37.599140;125192814;https://www.vinted.fr/hommes/sneakers-and-converses/125192814-yeezy-powerphase
Yeezy Powerphase;sneakers-and-converses;75,00;ADIDAS;GRIS;39;TRÈS BON ÉTAT;757;11;DEUIL-LA-BARRE, FRANCE;19/10/2018 00:01;2020-07-09 17:18:43.597238;125192814;https://www.vinted.fr/hommes/sneakers-and-converses/125192814-yeezy-powerphase
Chaussures Yeezy powerphase calabasas;baskets-baskets;140,00;ADIDAS;GRIS, BLEU CLAIR;38;NEUF;534;1;PAULHAC, FRANCE;24/09/2018 19:44;2020-07-09 17:18:49.604698;116432459;https://www.vinted.fr/femmes/baskets-baskets/116432459-chaussures-yeezy-powerphase-calabasas
Adidas Yeezy Powerphase;sneakers-and-converses;70,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;1577;2;NANTES, FRANCE;26/08/2018 21:04;2020-07-09 17:19:03.980680;106951514;https://www.vinted.fr/hommes/sneakers-and-converses/106951514-adidas-yeezy-powerphase
Yeezy calabasas powerphase;sneakers-and-converses;110,00;ADIDAS;NOIR;43.5;NEUF;284;0;FRANCE;21/08/2018 16:21;2020-07-09 17:19:09.773297;105342630;https://www.vinted.fr/hommes/sneakers-and-converses/105342630-yeezy-calabasas-powerphase
Yeezy powerphase 42 2/3;sneakers-and-converses;140,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;274;2;BOIS-COLOMBES, FRANCE;04/07/2018 21:13;2020-07-09 17:19:14.645965;96564510;https://www.vinted.fr/hommes/sneakers-and-converses/96564510-yeezy-powerphase-42-23
Yeezy powerphase;sneakers-and-converses;100,00;ADIDAS;NOIR;45.5;TRÈS BON ÉTAT;351;0;CANAULES-ET-ARGENTIÈRES, FRANCE;30/05/2018 14:21;2020-07-09 17:19:24.790489;88924361;https://www.vinted.fr/hommes/sneakers-and-converses/88924361-yeezy-powerphase
Yeezy powerphase grey;baskets-baskets;100,00;ADIDAS;GRIS;36;TRÈS BON ÉTAT;817;0;SAINT-NAZAIRE, FRANCE;13/05/2018 23:54;2020-07-09 17:19:32.669149;85214194;https://www.vinted.fr/femmes/baskets-baskets/85214194-yeezy-powerphase-grey
Yeezy powerphase coreblack;sneakers-and-converses;100,00;ADIDAS;NOIR, GRIS;43.5;NEUF, AVEC ÉTIQUETTE;185;0;BORDEAUX, FRANCE;11/05/2018 11:13;2020-07-09 17:20:00.261480;84350498;https://www.vinted.fr/hommes/sneakers-and-converses/84350498-yeezy-powerphase-coreblack
