Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
Deportivas talla 38 #powerphase;baskets-baskets;44,00;ADIDAS;MULTICOLORE;38.5;NEUF, AVEC ÉTIQUETTE;40;1;MADRID, ESPAÑA;14/06/2020 02:48;2020-07-09 16:51:07.782491;516485267;https://www.vinted.fr/femmes/baskets-baskets/516485267-deportivas-talla-38-powerphase
Baskets Adidas Powerphase taille 38 2/3;baskets-baskets;45,00;ADIDAS;BLANC;38.5;NEUF, AVEC ÉTIQUETTE;107;3;MADRID, ESPAÑA;13/06/2020 10:31;2020-07-09 16:51:14.785029;515524702;https://www.vinted.fr/femmes/baskets-baskets/515524702-baskets-adidas-powerphase-taille-38-23
Powerphase Adidas;baskets-baskets;30,00;ADIDAS;GRIS;37;TRÈS BON ÉTAT;95;0;SAN SEBASTIAN DE LOS REYES, ESPAÑA;12/06/2020 13:08;2020-07-09 16:51:22.595633;514690542;https://www.vinted.fr/femmes/baskets-baskets/514690542-powerphase-adidas
Adidas powerphase;baskets-baskets;40,00;ADIDAS;BEIGE;37;TRÈS BON ÉTAT;49;1;ESPAÑA;08/06/2020 23:36;2020-07-09 16:51:31.802575;511052790;https://www.vinted.fr/femmes/baskets-baskets/511052790-adidas-powerphase
Adidas powerphase w;baskets-baskets;40,00;ADIDAS;CRÈME, LILA;37.5;NEUF, AVEC ÉTIQUETTE;20;0;ESPAÑA;28/05/2020 09:01;2020-07-09 16:51:49.305034;498231508;https://www.vinted.fr/femmes/baskets-baskets/498231508-adidas-powerphase-w
Adidas powerphase;sneakers-and-converses;35,00;ADIDAS;GRIS;44;NEUF, AVEC ÉTIQUETTE;294;8;ALCOBENDAS, ESPAÑA;15/03/2020 19:13;2020-07-09 16:52:00.324331;446354129;https://www.vinted.fr/hommes/sneakers-and-converses/446354129-adidas-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;60,00;ADIDAS;GRIS;44.5;TRÈS BON ÉTAT;146;3;COSLADA, ESPAÑA;19/02/2020 19:55;2020-07-09 16:52:15.974463;423886941;https://www.vinted.fr/hommes/sneakers-and-converses/423886941-yeezy-powerphase-calabasas
Adidas yeezy powerphase calabassas;sneakers-and-converses;75,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;118;3;BARCELONA, ESPAÑA;18/02/2020 18:22;2020-07-09 16:52:22.387019;422885354;https://www.vinted.fr/hommes/sneakers-and-converses/422885354-adidas-yeezy-powerphase-calabassas
adidas Yeezy Powerphase Calabasas;sneakers-and-converses;80,00;ADIDAS;GRIS;45;TRÈS BON ÉTAT;139;0;ANTWERPEN, BELGIQUE;20/04/2020 14:38;2020-07-09 16:53:05.548486;461819317;https://www.vinted.fr/hommes/sneakers-and-converses/461819317-adidas-yeezy-powerphase-calabasas
Yeezy powerphase grey maat 38 2/3;sneakers-and-converses;139,00;ADIDAS;GRIS;38;NEUF, AVEC ÉTIQUETTE;125;0;HARELBEKE, BELGIQUE;26/01/2020 20:21;2020-07-09 16:53:12.624806;402907962;https://www.vinted.fr/hommes/sneakers-and-converses/402907962-yeezy-powerphase-grey-maat-38-23
Yeezy powerphase black nieuw;sneakers-and-converses;110,00;ADIDAS;NOIR;43.5;NEUF, AVEC ÉTIQUETTE;138;0;BELGIQUE;06/01/2020 00:23;2020-07-09 16:53:19.169559;385222867;https://www.vinted.fr/hommes/sneakers-and-converses/385222867-yeezy-powerphase-black-nieuw
Yeezy Powerphase size 12;sneakers-and-converses;110,00;ADIDAS;GRIS;46;TRÈS BON ÉTAT;214;2;BRUXELLES, BELGIQUE;06/11/2019 14:49;2020-07-09 16:53:26.990980;341149470;https://www.vinted.fr/hommes/sneakers-and-converses/341149470-yeezy-powerphase-size-12
Yeezy powerphase;baskets-baskets;110,00;ADIDAS;GRIS;36;NEUF, AVEC ÉTIQUETTE;1606;1;HOBOKEN, BELGIQUE;31/01/2019 21:39;2020-07-09 16:53:33.784203;164453657;https://www.vinted.fr/femmes/baskets-baskets/164453657-yeezy-powerphase
Powerphase;sneakers-and-converses;60,00;ADIDAS;LILA;43.5;NEUF, AVEC ÉTIQUETTE;51;1;PARIS, FRANCE;21/06/2020 20:02;2020-07-09 16:54:08.774729;525034727;https://www.vinted.fr/hommes/sneakers-and-converses/525034727-powerphase
Yeezy powerphase noire 44 2/3 10,5 US;sneakers-and-converses;45,00;ADIDAS;NOIR;44;BON ÉTAT;48;1;GRENADE, FRANCE;21/06/2020 18:58;2020-07-09 16:54:16.017611;524944345;https://www.vinted.fr/hommes/sneakers-and-converses/524944345-yeezy-powerphase-noire-44-23-105-us
Adidas Powerphase Calabasas;sneakers-and-converses;100,00;ADIDAS;GRIS;41;TRÈS BON ÉTAT;53;0;FRANCE;21/06/2020 14:19;2020-07-09 16:54:23.705203;524490932;https://www.vinted.fr/hommes/sneakers-and-converses/524490932-adidas-powerphase-calabasas
Basket Adidas Yeezy Powerphase Calabasas Grey;baskets-baskets;70,00;ADIDAS;GRIS;39;TRÈS BON ÉTAT;66;4;FRANCE;19/06/2020 13:44;2020-07-09 16:54:33.282924;522593225;https://www.vinted.fr/femmes/baskets-baskets/522593225-basket-adidas-yeezy-powerphase-calabasas-grey
Adidas powerphase 46.2/3 neuve cuir;sneakers-and-converses;45,00;ADIDAS;GRIS;46;NEUF, AVEC ÉTIQUETTE;89;12;FRANCE;19/06/2020 12:32;2020-07-09 16:54:39.175102;522525071;https://www.vinted.fr/hommes/sneakers-and-converses/522525071-adidas-powerphase-4623-neuve-cuir
Adidas Powerphase;sneakers-and-converses;65,00;ADIDAS;LILA;42;NEUF, AVEC ÉTIQUETTE;25;2;ÉQUEURDREVILLE-HAINNEVILLE, FRANCE;15/06/2020 22:43;2020-07-09 16:54:53.046433;518931116;https://www.vinted.fr/hommes/sneakers-and-converses/518931116-adidas-powerphase
Adidas Powerphase;sneakers-and-converses;50,00;ADIDAS;GRIS;41;TRÈS BON ÉTAT;42;0;GUIDEL, FRANCE;14/06/2020 19:37;2020-07-09 16:54:59.905078;517569511;https://www.vinted.fr/hommes/sneakers-and-converses/517569511-adidas-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;85,00;ADIDAS;NOIR;45;TRÈS BON ÉTAT;44;1;LILLE, FRANCE;07/06/2020 18:12;2020-07-09 16:55:30.248737;509414867;https://www.vinted.fr/hommes/sneakers-and-converses/509414867-yeezy-powerphase-calabasas
Adidas Yeezy Powerphase Calabasas Core Black;sneakers-and-converses;45,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;40;1;DAINVILLE, FRANCE;07/06/2020 13:57;2020-07-09 16:55:35.882946;508955626;https://www.vinted.fr/hommes/sneakers-and-converses/508955626-adidas-yeezy-powerphase-calabasas-core-black
Adidas Powerphase;sneakers-and-converses;50,00;ADIDAS;ROSE;41;NEUF, AVEC ÉTIQUETTE;70;3;RÉHON, FRANCE;06/06/2020 18:04;2020-07-09 16:55:45.979609;508210068;https://www.vinted.fr/hommes/sneakers-and-converses/508210068-adidas-powerphase
Yeezy calabasas powerphase noire;sneakers-and-converses;70,00;ADIDAS;NOIR;43;NEUF, AVEC ÉTIQUETTE;157;8;LEVALLOIS-PERRET, FRANCE;05/06/2020 14:31;2020-07-09 16:55:52.016489;506836168;https://www.vinted.fr/hommes/sneakers-and-converses/506836168-yeezy-calabasas-powerphase-noire
Adidas Powerphase Lila;baskets-baskets;40,00;ADIDAS;VIOLET, LILA;40.5;NEUF, AVEC ÉTIQUETTE;32;1;FRANCE;05/06/2020 11:55;2020-07-09 16:55:58.933081;506667196;https://www.vinted.fr/femmes/baskets-baskets/506667196-adidas-powerphase-lila
Yeezy powerphase;sneakers-and-converses;80,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;54;0;PARIS, FRANCE;03/06/2020 00:58;2020-07-09 16:56:08.760544;504302246;https://www.vinted.fr/hommes/sneakers-and-converses/504302246-yeezy-powerphase
Adidas powerphase;sneakers-and-converses;85,00;ADIDAS;BEIGE;40;NEUF, AVEC ÉTIQUETTE;105;0;ESPAÑA;28/01/2020 16:55;2020-07-09 16:56:14.314960;404352196;https://www.vinted.fr/hommes/sneakers-and-converses/404352196-adidas-powerphase
Yeezy Calabasas Powerphase;autres-sports;55,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;234;8;HUÉTOR VEGA, ESPAÑA;13/01/2020 16:37;2020-07-09 16:56:25.061455;391384915;https://www.vinted.fr/hommes/autres-sports/391384915-yeezy-calabasas-powerphase
Adidas Powerphase gris claro talla 39 1/3;baskets-baskets;55,00;ADIDAS;GRIS;39;NEUF, AVEC ÉTIQUETTE;447;2;MIRAFLORES DE LA SIERRA, ESPAÑA;16/12/2019 22:01;2020-07-09 16:56:31.077439;373628726;https://www.vinted.fr/femmes/baskets-baskets/373628726-adidas-powerphase-gris-claro-talla-39-13
zapatillas adidas powerphase;exterieur-and-randonnee;70,00;ADIDAS;BLANC;42;BON ÉTAT;267;3;VALDEMORO, ESPAÑA;11/12/2019 15:42;2020-07-09 16:56:36.941219;369994828;https://www.vinted.fr/hommes/exterieur-and-randonnee/369994828-zapatillas-adidas-powerphase
Adidas Powerphase. Talla 39 1/3;autres-sport;49,00;ADIDAS;GRIS, BLANC;39;NEUF;1336;9;ESPAÑA;08/12/2019 22:45;2020-07-09 16:56:42.855643;368230854;https://www.vinted.fr/femmes/autres-sport/368230854-adidas-powerphase-talla-39-13
Yeezy powerphase;sneakers-and-converses;45,00;ADIDAS;NOIR;41;BON ÉTAT;537;2;BARBERÀ DEL VALLÈS, ESPAÑA;12/09/2019 17:05;2020-07-09 16:56:51.796786;291671428;https://www.vinted.fr/hommes/sneakers-and-converses/291671428-yeezy-powerphase
Adidas Yeezy Powerphase;sneakers-and-converses;70,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;299;6;ESPAÑA;30/06/2019 13:38;2020-07-09 16:56:57.777849;249620144;https://www.vinted.fr/hommes/sneakers-and-converses/249620144-adidas-yeezy-powerphase
Adidas PowerPhase Custom 40;chaussures-de-marche-and-randonnee;25,00;ADIDAS;GRIS, LILA;40;BON ÉTAT;78;0;CLAMART, FRANCE;02/06/2020 00:35;2020-07-09 16:57:29.494173;503395855;https://www.vinted.fr/femmes/chaussures-de-marche-and-randonnee/503395855-adidas-powerphase-custom-40
Adidas yeezy powerphase;sneakers-and-converses;60,00;ADIDAS;NOIR, GRIS;42.5;TRÈS BON ÉTAT;106;4;BOOM, BELGIQUE;01/06/2020 11:49;2020-07-09 16:57:36.656857;502332929;https://www.vinted.fr/hommes/sneakers-and-converses/502332929-adidas-yeezy-powerphase
Adidas powerphase;sneakers-and-converses;40,00;ADIDAS;ROSE;44;TRÈS BON ÉTAT;61;1;DOMPIERRE-SUR-MER, FRANCE;30/05/2020 12:06;2020-07-09 16:57:46.524248;500196900;https://www.vinted.fr/hommes/sneakers-and-converses/500196900-adidas-powerphase
Adidas Powerphase;sneakers-and-converses;55,00;ADIDAS;GRIS;45;NEUF, AVEC ÉTIQUETTE;127;3;BLOIS, FRANCE;29/05/2020 23:42;2020-07-09 16:57:52.120750;499960176;https://www.vinted.fr/hommes/sneakers-and-converses/499960176-adidas-powerphase
Yeezy powerphase;autres-sport;70,00;ADIDAS;NOIR;38;NEUF, AVEC ÉTIQUETTE;68;4;ANTONY, FRANCE;29/05/2020 13:43;2020-07-09 16:57:57.177507;499405115;https://www.vinted.fr/femmes/autres-sport/499405115-yeezy-powerphase
Baskets PowerPhase Adidas;sneakers-and-converses;32,00;ADIDAS;BLANC;43.5;TRÈS BON ÉTAT;111;3;THIONVILLE, FRANCE;28/05/2020 22:02;2020-07-09 16:58:08.004476;499024015;https://www.vinted.fr/hommes/sneakers-and-converses/499024015-baskets-powerphase-adidas
Yeezy powerphase calabasas;sneakers-and-converses;58,00;ADIDAS;NOIR, GRIS;43;TRÈS BON ÉTAT;90;2;FRANCE;27/05/2020 14:10;2020-07-09 16:58:18.252340;497538658;https://www.vinted.fr/hommes/sneakers-and-converses/497538658-yeezy-powerphase-calabasas
Adidas Yeezy powerphase grey;sneakers-and-converses;40,00;ADIDAS;GRIS;45;TRÈS BON ÉTAT;228;10;AVIGNON, FRANCE;19/05/2020 15:14;2020-07-09 16:58:31.630676;489255948;https://www.vinted.fr/hommes/sneakers-and-converses/489255948-adidas-yeezy-powerphase-grey
Powerphase yeezy calabasas;sneakers-and-converses;50,00;ADIDAS;GRIS;38;BON ÉTAT;53;0;FRANCE;19/05/2020 14:47;2020-07-09 16:58:37.251382;489225470;https://www.vinted.fr/hommes/sneakers-and-converses/489225470-powerphase-yeezy-calabasas
Yeezy grey Calabasas UK10 44 2/3 EU;sneakers-and-converses;65,00;ADIDAS;GRIS;44.5;TRÈS BON ÉTAT;162;10;VILLEJUIF, FRANCE;18/05/2020 20:02;2020-07-09 16:58:43.548064;488687598;https://www.vinted.fr/hommes/sneakers-and-converses/488687598-yeezy-grey-calabasas-uk10-44-23-eu
Yeezy Powerphase Calabasas Grey;sneakers-and-converses;100,00;ADIDAS;GRIS;45;TRÈS BON ÉTAT;115;4;FRANCE;18/05/2020 15:20;2020-07-09 16:58:50.365661;488362577;https://www.vinted.fr/hommes/sneakers-and-converses/488362577-yeezy-powerphase-calabasas-grey
Adidas Powerphase Gummy - Owhite;sneakers-and-converses;40,00;ADIDAS;BEIGE , BLANC;43.5;TRÈS BON ÉTAT;26;0;CANNES, FRANCE;18/05/2020 13:58;2020-07-09 16:58:56.864683;488263349;https://www.vinted.fr/hommes/sneakers-and-converses/488263349-adidas-powerphase-gummy-owhite
Adidas Yeezy Powerphase 'Calabasas;sneakers-and-converses;49,00;ADIDAS;NOIR;42.5;BON ÉTAT;63;0;FRANCE;17/05/2020 10:13;2020-07-09 16:59:02.409486;486935422;https://www.vinted.fr/hommes/sneakers-and-converses/486935422-adidas-yeezy-powerphase-calabasas
Yeezy Powerphase Calabasas - Size : 8.5;sneakers-and-converses;79,99;ADIDAS;GRIS;42;TRÈS BON ÉTAT;144;0;LE CANNET, FRANCE;16/05/2020 16:47;2020-07-09 16:59:08.124370;486461132;https://www.vinted.fr/hommes/sneakers-and-converses/486461132-yeezy-powerphase-calabasas-size-85
Adidas Powerphase;baskets-baskets;25,00;ADIDAS;LILA;36.5;NEUF, AVEC ÉTIQUETTE;317;19;SARCELLES, FRANCE;15/05/2020 16:31;2020-07-09 16:59:15.233087;485561506;https://www.vinted.fr/femmes/baskets-baskets/485561506-adidas-powerphase
Adidas Powerphase Calabasas;sneakers-and-converses;40,00;ADIDAS;NOIR;40;NEUF;66;6;NICE, FRANCE;14/05/2020 11:00;2020-07-09 16:59:29.072240;484305834;https://www.vinted.fr/hommes/sneakers-and-converses/484305834-adidas-powerphase-calabasas
Adidas originals powerphase;baskets-baskets;47,00;ADIDAS;BEIGE;36;NEUF, AVEC ÉTIQUETTE;334;1;FRANCE;13/05/2020 13:44;2020-07-09 16:59:36.615981;483493453;https://www.vinted.fr/femmes/baskets-baskets/483493453-adidas-originals-powerphase
Adidas Yeezy Powerphase Calabasas Black 10US/44;sneakers-and-converses;90,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;70;1;CHAMPAGNE-AU-MONT-D'OR, FRANCE;09/05/2020 15:09;2020-07-09 17:00:08.342322;479173039;https://www.vinted.fr/hommes/sneakers-and-converses/479173039-adidas-yeezy-powerphase-calabasas-black-10us44
Adidas yeezy powerphase;sneakers-and-converses;50,00;ADIDAS;NOIR;41;BON ÉTAT;53;4;FRANCE;08/05/2020 16:51;2020-07-09 17:00:14.090102;478216819;https://www.vinted.fr/hommes/sneakers-and-converses/478216819-adidas-yeezy-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;55,00;ADIDAS;GRIS;43;TRÈS BON ÉTAT;141;1;PESSAC, FRANCE;07/05/2020 20:06;2020-07-09 17:00:21.115529;477411303;https://www.vinted.fr/hommes/sneakers-and-converses/477411303-yeezy-powerphase-calabasas
Adidas yeezy powerphase calabasas;sneakers-and-converses;40,00;ADIDAS;NOIR;41;SATISFAISANT;184;1;VALENCE, FRANCE;22/03/2020 17:53;2020-07-09 17:01:04.838245;448509385;https://www.vinted.fr/hommes/sneakers-and-converses/448509385-adidas-yeezy-powerphase-calabasas
Yeezy powerphase;sneakers-and-converses;50,00;ADIDAS;GRIS;42;TRÈS BON ÉTAT;112;2;MARSEILLE, FRANCE;16/03/2020 17:33;2020-07-09 17:01:10.802908;446726731;https://www.vinted.fr/hommes/sneakers-and-converses/446726731-yeezy-powerphase
Powerphase yeezy calabasas;baskets-baskets;80,00;ADIDAS;GRIS, BLANC;38.5;TRÈS BON ÉTAT;196;1;ROUEN, FRANCE;11/03/2020 13:30;2020-07-09 17:01:24.980727;443057921;https://www.vinted.fr/femmes/baskets-baskets/443057921-powerphase-yeezy-calabasas
Yeezy powerphase;sneakers-and-converses;75,00;ADIDAS;GRIS;45;TRÈS BON ÉTAT;128;7;TOULOUSE, FRANCE;01/03/2020 15:50;2020-07-09 17:01:38.930951;433801658;https://www.vinted.fr/hommes/sneakers-and-converses/433801658-yeezy-powerphase
Adidas powerphase 46 2/3;sneakers-and-converses;25,00;ADIDAS;ROSE;46;TRÈS BON ÉTAT;112;5;LA VALETTE-DU-VAR, FRANCE;29/02/2020 22:18;2020-07-09 17:01:44.728118;433114430;https://www.vinted.fr/hommes/sneakers-and-converses/433114430-adidas-powerphase-46-23
Adidas yeezy powerphase;autres-sport;40,00;ADIDAS;GRIS;38;TRÈS BON ÉTAT;153;2;JETTE, BELGIQUE;24/02/2020 16:52;2020-07-09 17:01:49.784492;428283097;https://www.vinted.fr/femmes/autres-sport/428283097-adidas-yeezy-powerphase
Yeezy powerphase;sneakers-and-converses;90,00;ADIDAS;NOIR;44.5;TRÈS BON ÉTAT;111;1;PARIS, FRANCE;23/02/2020 17:28;2020-07-09 17:01:55.305482;427278728;https://www.vinted.fr/hommes/sneakers-and-converses/427278728-yeezy-powerphase
Yeezy powerphase noire;sneakers-and-converses;50,00;ADIDAS;NOIR;43;BON ÉTAT;101;0;AJACCIO, FRANCE;17/02/2020 20:27;2020-07-09 17:02:12.862551;422127626;https://www.vinted.fr/hommes/sneakers-and-converses/422127626-yeezy-powerphase-noire
